pptID,gender,age,trial,trialType,ImageNo,imageOrder,response,correct,responseType,RT
148,1,18,1,0,16,1,1,0,2,4.3289817
148,1,18,2,0,1,1,0,1,1,4.0403814
148,1,18,3,1,33,2,1,1,3,2.2628736
148,1,18,4,1,25,2,0,0,4,2.91907
148,1,18,5,1,31,1,0,0,4,2.4280672
148,1,18,6,1,34,1,0,0,4,3.9192026
148,1,18,7,0,13,2,1,0,2,2.5764036
148,1,18,8,0,15,2,0,1,1,3.2922879
148,1,18,9,0,7,1,0,1,1,3.6715539
148,1,18,10,0,5,1,0,1,1,3.0616118
148,1,18,11,0,17,2,0,1,1,2.7426917
148,1,18,12,0,8,2,0,1,1,3.0306432
148,1,18,13,1,28,1,0,0,4,2.9153407
148,1,18,14,0,10,1,0,1,1,2.9372256
148,1,18,15,1,27,2,0,0,4,2.5838981
148,1,18,16,1,38,2,1,1,3,2.3629536
148,1,18,17,1,39,1,0,0,4,2.9166271
148,1,18,18,0,9,1,0,1,1,2.4537575
148,1,18,19,0,19,2,0,1,1,2.5047989
148,1,18,20,0,18,2,0,1,1,3.1670159
148,1,18,21,0,20,1,0,1,1,1.9115526
148,1,18,22,1,36,1,1,1,3,2.8814743
148,1,18,23,0,3,2,0,1,1,1.6766757
148,1,18,24,1,24,2,0,0,4,2.9049995
148,1,18,25,1,29,1,0,0,4,3.0568998
148,1,18,26,0,11,1,0,1,1,2.295769
148,1,18,27,1,23,2,1,1,3,2.6757448
148,1,18,28,1,30,2,1,1,3,1.8146014
148,1,18,29,0,14,1,1,0,2,3.5846753
148,1,18,30,1,21,1,1,1,3,2.8857889
148,1,18,31,1,26,2,0,0,4,2.6792396
148,1,18,32,1,37,2,0,0,4,2.7301255
148,1,18,33,1,22,1,1,1,3,3.2396439
148,1,18,34,0,12,1,1,0,2,2.1877375
148,1,18,35,0,2,2,1,0,2,3.3728459
148,1,18,36,1,40,2,1,1,3,2.2663296
148,1,18,37,1,35,1,0,0,4,1.9358271
148,1,18,38,0,6,1,0,1,1,2.3894983
148,1,18,39,0,4,2,1,0,2,2.2950803
148,1,18,40,1,32,2,0,0,4,2.259224
147,1,18,1,0,11,1,0,1,1,7.2069274
147,1,18,2,1,32,1,0,0,4,4.3827352
147,1,18,3,0,13,2,0,1,1,4.3382695
147,1,18,4,1,33,2,1,1,3,3.6455334
147,1,18,5,0,16,1,0,1,1,4.0245848
147,1,18,6,0,9,1,0,1,1,8.0518943
147,1,18,7,0,3,2,0,1,1,3.3693076
147,1,18,8,1,38,2,1,1,3,3.1978969
147,1,18,9,0,4,1,0,1,1,4.6056023
147,1,18,10,1,37,1,1,1,3,3.3802331
147,1,18,11,1,40,2,0,0,4,2.4484461
147,1,18,12,0,6,2,0,1,1,2.9990388
147,1,18,13,1,28,1,0,0,4,3.0354793
147,1,18,14,1,21,1,1,1,3,3.6743574
147,1,18,15,1,36,2,1,1,3,4.3252273
147,1,18,16,1,29,2,0,0,4,5.3589322
147,1,18,17,1,26,1,1,1,3,3.4725549
147,1,18,18,0,12,1,0,1,1,4.6525156
147,1,18,19,1,25,2,1,1,3,2.9606525
147,1,18,20,0,10,2,0,1,1,2.278656
147,1,18,21,1,27,1,0,0,4,4.9231633
147,1,18,22,0,7,1,0,1,1,3.2477865
147,1,18,23,0,2,2,0,1,1,2.4278332
147,1,18,24,1,34,2,0,0,4,2.3036633
147,1,18,25,0,8,1,0,1,1,4.4402689
147,1,18,26,0,17,1,0,1,1,4.8747656
147,1,18,27,0,15,2,0,1,1,2.879181
147,1,18,28,1,23,2,0,0,4,3.194309
147,1,18,29,1,35,1,1,1,3,1.8701396
147,1,18,30,0,14,1,0,1,1,2.656376
147,1,18,31,1,31,2,1,1,3,2.6201524
147,1,18,32,1,30,2,1,1,3,1.9935073
147,1,18,33,1,24,1,0,0,4,5.716066
147,1,18,34,0,20,1,0,1,1,3.1228783
147,1,18,35,0,5,2,0,1,1,2.9688971
147,1,18,36,1,39,2,1,1,3,3.3070699
147,1,18,37,0,19,1,0,1,1,5.9353036
147,1,18,38,1,22,1,1,1,3,6.4215721
147,1,18,39,0,1,2,0,1,1,4.1044015
147,1,18,40,0,18,2,0,1,1,6.7811249
146,1,18,1,1,38,1,1,1,3,3.0761995
146,1,18,2,1,27,1,1,1,3,1.8163157
146,1,18,3,0,7,2,0,1,1,1.3137217
146,1,18,4,0,20,2,0,1,1,2.7862548
146,1,18,5,0,13,1,1,0,2,2.9133507
146,1,18,6,1,29,1,1,1,3,2.8208497
146,1,18,7,0,9,2,0,1,1,1.368596
146,1,18,8,0,6,2,0,1,1,2.032616
146,1,18,9,0,14,1,0,1,1,3.29877
146,1,18,10,0,10,1,0,1,1,2.6043079
146,1,18,11,0,8,2,1,0,2,2.0322807
146,1,18,12,0,2,2,1,0,2,3.7916371
146,1,18,13,0,19,1,1,0,2,2.1283957
146,1,18,14,1,32,1,0,0,4,2.6096419
146,1,18,15,0,11,2,1,0,2,2.489642
146,1,18,16,0,17,2,1,0,2,3.3392064
146,1,18,17,1,26,1,1,1,3,3.8331687
146,1,18,18,1,24,1,1,1,3,4.5367129
146,1,18,19,1,33,2,1,1,3,2.5791726
146,1,18,20,1,35,2,1,1,3,2.367194
146,1,18,21,0,4,1,0,1,1,3.490464
146,1,18,22,0,18,1,0,1,1,3.0028971
146,1,18,23,1,23,2,1,1,3,2.6399571
146,1,18,24,1,34,2,1,1,3,2.9128408
146,1,18,25,1,36,1,1,1,3,1.6324661
146,1,18,26,0,16,1,0,1,1,2.1376801
146,1,18,27,1,40,2,1,1,3,1.5721358
146,1,18,28,1,25,2,1,1,3,1.7834825
146,1,18,29,1,37,1,1,1,3,2.4010339
146,1,18,30,0,12,1,0,1,1,2.8012043
146,1,18,31,1,30,2,1,1,3,5.0587728
146,1,18,32,0,1,2,1,0,2,1.8619102
146,1,18,33,0,15,1,1,0,2,1.7008502
146,1,18,34,1,22,1,1,1,3,1.983495
146,1,18,35,0,5,2,1,0,2,1.9608214
146,1,18,36,1,39,2,1,1,3,1.6744071
146,1,18,37,1,21,1,1,1,3,1.6074052
146,1,18,38,0,3,1,1,0,2,1.2596221
146,1,18,39,1,28,2,1,1,3,2.1540669
146,1,18,40,1,31,2,1,1,3,3.1504473
145,2,20,1,0,16,1,0,1,1,9.1171331
145,2,20,2,0,7,1,1,0,2,9.633361
145,2,20,3,1,29,2,1,1,3,6.0785659
145,2,20,4,0,5,2,0,1,1,6.0423335
145,2,20,5,1,27,1,1,1,3,10.250308
145,2,20,6,1,36,1,1,1,3,7.8867207
145,2,20,7,0,15,2,1,0,2,9.4789722
145,2,20,8,1,30,2,0,0,4,9.8104295
145,2,20,9,1,35,1,1,1,3,9.6956315
145,2,20,10,0,10,1,0,1,1,3.7396867
145,2,20,11,0,4,2,0,1,1,11.638458
145,2,20,12,1,25,2,1,1,3,2.5750928
145,2,20,13,0,12,1,0,1,1,12.308219
145,2,20,14,1,38,1,1,1,3,2.7431882
145,2,20,15,1,32,2,1,1,3,4.5156204
145,2,20,16,0,18,2,0,1,1,5.7733846
145,2,20,17,1,37,1,1,1,3,5.9448616
145,2,20,18,1,28,1,1,1,3,10.625965
145,2,20,19,0,1,2,0,1,1,5.2702119
145,2,20,20,0,17,2,0,1,1,4.0461149
145,2,20,21,1,31,1,0,0,4,3.0033407
145,2,20,22,1,26,1,1,1,3,6.4548352
145,2,20,23,1,24,2,1,1,3,4.054028
145,2,20,24,1,40,2,1,1,3,6.8582081
145,2,20,25,0,13,1,0,1,1,2.4557076
145,2,20,26,1,21,1,1,1,3,3.6183258
145,2,20,27,0,6,2,1,0,2,4.2852976
145,2,20,28,0,2,2,1,0,2,3.6140591
145,2,20,29,1,39,1,0,0,4,6.9321847
145,2,20,30,1,22,1,1,1,3,5.9568562
145,2,20,31,0,19,2,0,1,1,3.1059163
145,2,20,32,0,14,2,1,0,2,12.901188
145,2,20,33,0,9,1,0,1,1,5.4480184
145,2,20,34,0,20,1,0,1,1,5.835996
145,2,20,35,1,34,2,0,0,4,3.4084347
145,2,20,36,0,8,2,1,0,2,7.3110859
145,2,20,37,1,23,1,0,0,4,5.1236953
145,2,20,38,1,33,1,1,1,3,2.751974
145,2,20,39,0,3,2,0,1,1,10.406921
145,2,20,40,0,11,2,0,1,1,2.6192874
144,1,20,1,1,21,1,1,1,3,6.3035854
144,1,20,2,0,13,1,0,1,1,3.172501
144,1,20,3,1,40,2,0,0,4,3.1842284
144,1,20,4,0,11,2,0,1,1,3.1760794
144,1,20,5,0,10,1,0,1,1,1.2018141
144,1,20,6,1,29,1,1,1,3,1.6307936
144,1,20,7,1,39,2,0,0,4,2.5491455
144,1,20,8,1,25,2,1,1,3,2.3845794
144,1,20,9,1,27,1,1,1,3,1.5594609
144,1,20,10,1,31,1,1,1,3,1.6966583
144,1,20,11,0,14,2,0,1,1,1.1679085
144,1,20,12,1,30,2,1,1,3,2.5525592
144,1,20,13,0,1,1,0,1,1,1.0504987
144,1,20,14,0,9,1,0,1,1,1.3070484
144,1,20,15,1,38,2,0,0,4,1.3233129
144,1,20,16,1,34,2,1,1,3,1.5289902
144,1,20,17,1,22,1,0,0,4,1.6971054
144,1,20,18,0,16,1,0,1,1,1.2241721
144,1,20,19,1,33,2,1,1,3,1.3737276
144,1,20,20,0,2,2,0,1,1,1.1851159
144,1,20,21,0,20,1,0,1,1,1.0707865
144,1,20,22,0,8,1,0,1,1,1.7369917
144,1,20,23,0,5,2,0,1,1,0.83699356
144,1,20,24,0,6,2,0,1,1,1.2171138
144,1,20,25,1,24,1,0,0,4,0.81291862
144,1,20,26,0,4,1,0,1,1,1.1044202
144,1,20,27,1,36,2,0,0,4,1.4325981
144,1,20,28,0,17,2,0,1,1,1.0727911
144,1,20,29,0,3,1,0,1,1,1.656023
144,1,20,30,0,15,1,0,1,1,1.1592348
144,1,20,31,0,12,2,0,1,1,0.88968443
144,1,20,32,0,19,2,0,1,1,1.7217724
144,1,20,33,1,23,1,0,0,4,1.3512976
144,1,20,34,0,18,1,0,1,1,0.91455276
144,1,20,35,1,26,2,0,0,4,1.0316245
144,1,20,36,1,28,2,0,0,4,0.98504586
144,1,20,37,1,35,1,0,0,4,1.175543
144,1,20,38,1,32,1,0,0,4,1.1280776
144,1,20,39,0,7,2,1,0,2,3.0363234
144,1,20,40,1,37,2,1,1,3,1.3569416
143,2,18,1,1,29,1,0,0,4,5.1989972
143,2,18,2,0,13,1,1,0,2,5.6934944
143,2,18,3,1,24,2,0,0,4,5.3004667
143,2,18,4,0,9,2,0,1,1,4.6548034
143,2,18,5,1,22,1,1,1,3,3.9881887
143,2,18,6,1,36,1,0,0,4,2.7048272
143,2,18,7,1,35,2,1,1,3,2.7042295
143,2,18,8,0,17,2,0,1,1,4.1342908
143,2,18,9,1,23,1,1,1,3,2.0344535
143,2,18,10,0,1,1,0,1,1,3.0055414
143,2,18,11,1,34,2,0,0,4,5.2566945
143,2,18,12,0,16,2,0,1,1,3.6564526
143,2,18,13,0,2,1,0,1,1,1.9639138
143,2,18,14,1,33,1,0,0,4,3.6021749
143,2,18,15,1,39,2,0,0,4,3.1665257
143,2,18,16,0,19,2,0,1,1,2.6678002
143,2,18,17,1,30,1,0,0,4,4.5166786
143,2,18,18,1,40,1,0,0,4,1.8716395
143,2,18,19,0,11,2,0,1,1,3.9587015
143,2,18,20,0,7,2,1,0,2,7.3692521
143,2,18,21,0,8,1,0,1,1,5.625978
143,2,18,22,0,4,1,0,1,1,2.1905181
143,2,18,23,0,12,2,0,1,1,3.1466606
